t,ia,ib,ic,vsq,vsd,speed,angle,output
0,0,0,0,244.9489743,0,0,0,0
0.01,81.7083293,151.204339,-232.9126683,83.15340669,230.4029317,80.3685714,0.636367687,0
0.02,65.98242853,-220.1415733,154.1591447,131.2641143,206.8084435,133.7784018,1.633644971,0
0.03,-178.4658658,209.0555644,-30.5896986,174.5055625,171.8947604,98.61876737,2.632968049,0
0.04,226.7858604,-116.1545236,-110.6313369,141.751758,199.7659609,61.16297329,3.531495274,0
0.05,-184.5159754,-21.78529861,206.3012741,108.6883052,219.5150389,95.71021169,4.434625744,0
0.06,74.71851465,147.3594023,-222.0779169,143.1589376,198.7599521,120.9781357,5.418216339,0
0.07,64.37763854,-219.9347405,155.5571019,163.471154,182.4203438,89.86012059,6.387312803,0
0.08,-181.5942114,208.3533097,-26.7590983,135.3774637,204.1395168,72.94953256,7.293516289,0
0.09,226.5106224,-115.7291537,-110.7814687,120.3985226,213.3171248,99.84558223,8.218061064,0
0.1,-185.8371969,-18.61176336,204.4489603,145.9392378,196.7275752,111.1584303,9.191642495,0
0.11,74.71311063,147.6206414,-222.3337521,155.2193498,189.4913018,88.35326864,10.14613204,0
0.12,66.92190607,-220.9754535,154.0535474,134.5677828,204.6741601,80.86920878,11.06243719,0
0.13,-181.1942546,208.2246855,-27.03043085,127.9382212,208.8822911,99.93010389,11.99690037,0
0.14,226.1382169,-117.2496263,-108.8885905,145.6745095,196.9236839,104.8736861,12.96121743,0
0.15,-185.8193693,-19.01681424,204.8361835,149.8301864,193.7805853,89.08650377,13.90901321,0
0.16,73.3166505,148.9845298,-222.3011803,135.5033167,204.0560001,85.77714349,14.83349282,0
0.17,66.4796431,-220.6804455,154.2008024,132.4847068,206.0286448,98.74639831,15.77229021,0
0.18,-180.2982383,208.5324549,-28.23421654,144.4160962,197.8484045,101.06483,16.72953477,0
0.19,226.326116,-117.0235822,-109.3025338,146.5201179,196.2953261,90.4382878,17.67468165,0
0.2,-185.3761928,-20.0167516,205.3929444,136.8340433,203.1660518,88.718922,18.6050379,0
0.21,73.57512561,148.648537,-222.2236626,135.1886744,204.264589,97.42068343,19.54549651,0
0.22,65.68787159,-220.3884265,154.7005549,143.1552245,198.7626265,98.77395044,20.49785641,0
0.23,-180.5570511,208.540448,-27.98339691,144.512338,197.7781185,91.67163159,21.44204539,0
0.24,226.4334133,-116.5193761,-109.9140373,138.0293725,202.3558557,90.4790528,22.3764229,0
0.25,-185.4220179,-19.79372564,205.2157435,136.7962398,203.1915077,96.29722011,23.31738037,0
0.26,74.03938866,148.2094605,-222.2488491,142.0926349,199.5236405,97.41751031,24.26643364,0
0.27,65.86144394,-220.4964177,154.6349737,143.2873605,198.6673912,92.68601557,25.21041162,0
0.28,-180.8589145,208.421028,-27.56211346,139.0026853,201.6885061,91.5753269,26.14753854,0
0.29,226.3704574,-116.5994013,-109.7710561,137.8177413,202.5000499,95.39357256,27.08855051,0
0.3,-185.5791821,-19.45202559,205.0312076,141.2777555,200.1014638,96.52815764,28.03532527,0
0.31,73.97577543,148.2955176,-222.271293,142.4547801,199.2652394,93.44983331,28.97927668,0
0.32,66.16166343,-220.611135,154.4494716,139.7139086,201.1964804,92.31984009,29.91833239,0
0.33,-180.7992177,208.4097315,-27.6105138,138.5199073,202.0203833,94.73574655,30.85932959,0
0.34,226.3379582,-116.7734905,-109.5644677,140.6199346,200.5642889,95.88341352,31.80441555,0
0.35,-185.5945887,-19.46528384,205.0598726,141.8621244,199.6876002,94.09879686,32.7484451,0
0.36,73.81702568,148.4554136,-222.2724393,140.3883109,200.7264859,92.86970468,33.68908254,0
0.37,66.14557908,-220.5933683,154.4477892,139.0966396,201.6237209,94.04518548,34.62995519,0
0.38,-180.7035562,208.444977,-27.74142079,139.946936,201.0344625,95.28635714,35.57348883,0
0.39,226.3359206,-116.7866078,-109.5493128,141.2061823,200.1519775,94.70848573,36.51753603,0
0.4,-185.5470913,-19.5647654,205.1118567,140.8806366,200.3812522,93.56003857,37.45960743,0
0.41,73.79779009,148.4650315,-222.2628216,139.8060292,201.1324793,93.68210918,38.40074704,0
0.42,66.07933157,-220.5643905,154.4850589,139.736528,201.1807713,94.61013013,39.34313846,0
0.43,-180.6884408,208.4549705,-27.76652968,140.4886164,200.6562948,94.8318709,40.28655206,0
0.44,226.3469139,-116.7584801,-109.5884338,140.871076,200.3879736,94.25577867,41.22950669,0
0.45,-185.5366995,-19.58411041,205.1208099,140.5102979,200.6411129,93.8098378,42.17153467,0
0.46,73.81938609,148.4416107,-222.2609968,140.0285377,200.9776321,93.97127555,43.11341269,0
0.47,66.06692709,-220.5611473,154.4942203,139.9982607,200.9987239,94.4079467,44.05585283,0
0.48,-180.703974,208.4521544,-27.74818049,140.3456403,200.7563231,94.56345361,44.99876295,0
0.49,226.3491955,-116.7443938,-109.6048017,140.5938138,200.5826003,94.34361272,45.94154993,0
0.5,-185.5389054,-19.57490172,205.1138071,140.5119077,200.6399856,94.08763817,46.88392566,0
0.51,73.8373024,148.4238578,-222.2611602,140.2668946,200.81135,94.05371813,47.82609829,0
0.52,66.06149487,-220.5605288,154.4990339,140.1576808,200.8875918,94.22230752,48.76844015,0
0.53,-180.7177888,208.4501177,-27.73232896,140.2186739,200.8450236,94.32819255,49.71099386,0
0.54,226.3524268,-116.7297859,-109.6226409,140.3332186,200.7650063,94.3515518,50.65361426,0
0.55,-185.5366616,-19.57648641,205.113148,140.3960451,200.7210764,94.29714694,51.5961703,0
0.56,73.85074574,148.4095569,-222.2603026,140.39859,200.7192964,94.23976296,52.53865127,0
0.57,66.04657007,-220.5549695,154.5083994,140.3666655,200.741623,94.21150812,53.4810893,0
0.58,-180.7149857,208.4524211,-27.73743543,140.3410948,200.7595007,94.20765186,54.42353525,0
0.59,226.3545474,-116.7263281,-109.6282193,140.318163,200.7755292,94.21922267,55.36598449,0
0.6,-185.5332765,-19.58497389,205.1182504,140.3104023,200.7809528,94.23346246,56.30845263,0
0.61,73.84539042,148.4145527,-222.2599431,140.3128807,200.7792208,94.25169463,57.25093351,0
0.62,66.04820604,-220.5551948,154.5069888,140.3235319,200.7717769,94.25694112,58.19342457,0
0.63,-180.7141299,208.452217,-27.73808705,140.3296562,200.7674964,94.25745267,59.13590999,0
0.64,226.3538474,-116.7279531,-109.6258944,140.3345119,200.7641023,94.2540533,60.07839383,0
0.65,-185.5342655,-19.5825512,205.1168167,140.3355689,200.7633635,94.25019351,61.02087294,0
0.66,73.846697,148.4133446,-222.2600416,140.3345712,200.7640609,94.24685487,61.9633495,0
0.67,66.04790557,-220.5551716,154.507266,140.3326331,200.7654156,94.24608274,62.90582488,0
0.68,-180.7143631,208.4522496,-27.73788641,140.3315564,200.7661682,94.2460706,63.84830134,0
0.69,226.3539983,-116.7275943,-109.6264041,140.330775,200.7667143,94.24672867,64.79077816,0
0.7,-185.5340765,-19.58300794,205.1170845,140.3306557,200.7667977,94.24741574,65.73325581,0
0.71,73.84648062,148.4135428,-222.2600234,140.3308552,200.7666583,94.24796418,66.67573385,0
0.72,66.04794425,-220.5551698,154.5072255,140.331187,200.7664264,94.24807495,67.61821206,0
0.73,-180.7143147,208.4522467,-27.73793197,140.3313673,200.7663003,94.24806683,68.56069008,0
